Protein_ID,Gene_Name,Infected_1002,Infected_1015,Infected_1004,Infected_1017,Infected_1031,Infected_1014,Infected_1042,Infected_1044,Clean_2205,Clean_2057,Clean_2078,Clean_2062,Clean_2086,Clean_2065,Clean_2044,Clean_2048,Clean_2033,Clean_2041,Clean_2060,Clean_2029,Clean_1054,Clean_2038,Clean_2072,Clean_2064,Clean_2025,Clean_2063
Q9Y625,GPC6,2755000,2480300,485600,4285100,5264800,11927000,3733600,292030,6633000,372000,4730900,656590,16925000,6180600,4499400,3437800,4396500,207540,3735000,698040,800170,0,4128100,3077700,9574300,140250
Q9Y6R7,FCGBP,1450900,148130,207590,969650,383500,2147600,190270,710750,905140,39102,1479800,69978,448260,576390,3697300,580890,1026800,5092200,226990,127480,135310,2387700,510660,1930500,913550,181100
REVQ86YA3,ZGRF1,870510,1039000,1511600,2227700,2147300,933180,1061800,1744800,1183800,2394100,4065200,1593900,613580,499020,1592600,2162600,1719900,2834600,3121400,647920,1989600,3442700,2631200,1307700,360760,2492900
P00558,PGK1,8139.1,433720,0,214150,275130,702960,46946,20788,475240,0,25958,54431,0,166610,77054,0,59226,211220,0,102740,0,162590,144580,143690,1941.4,1582.7
P01591,IGJ,75255,67817,4681.3,28408,6366.5,26354,17690,26608,16220,11295,1531,35313,2148.6,0,319.67,2562.4,1666800,0,6702.3,1638.3,1156.6,7574.2,56092,0,23376,0
P04114,APOB,3171.4,13406,111390,92977,173830,1821100,77316,27661,529740,0,29564,2393.6,122960,0,1050.3,24022,353230,9085.3,17135,59724,0,52213,76962,312400,355870,25239
P12277,CKB,179850,419480,0,16525,30317,19291,37739,18417,138160,24749,520.27,2666.4,20173,56957,611.51,1480.6,5694.8,8664,27098,0,0,0,132330,18744,0,10262
P16157,ANK1,756340,11654,11199,488.7,965790,253200,54151,0,2335.5,0,1088800,0,1841.9,958990,468930,1064500,16414,1703800,1022800,0,0,480750,1280300,1150300,60815,909670
P18669,PGAM1,163170,265090,0,127660,92974,1423300,43577,30458,11628,0,67474,0,159570,254050,302750,184020,17968,0,35078,17777,0,67619,280540,107520,0,95628
P62258,YWHAE,67914,238510,0,84820,265410,228810,33896,34824,0,0,36666,0,77367,47681,24666,26758,9169.8,325460,319010,0,0,60602,72179,25000,45879,25463
P69892,HBG2,133600,17064,841770,21444,33247000,103470,0,8727.2,0,0,284310,0,36327,133640,201730,148750,2330,106290,0,1042600,0,390990,69708,3926500,282890,16171
Q01082,SPTBN1,19068,20877,1439.1,37312,98277,171820,900.06,0,296350,63602,74856,0,560130,51935,245390,0,247970,0,19751,76598,3887.2,134900,17428,37446,131090,45189
Q02818,NUCB1,28006,53773,3458,22880,85556,51002,362.81,0,32060,11483,77378,0,4396.1,46373,179600,33259,32274,15458,2723.2,0,3941.5,51601,65720,23371,114450,0
